都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,経度,緯度,,2400分割,3600分割,,480分割,720分割
上川,12457,雨,瑞穂,ﾐｽﾞﾎ,旭川市東旭川町瑞穂,43,44.2,142,38.3,289,－,－,昭59.10.8,－,－,142.6383333,43.73666667,,1811,2848,,362,569
上川,12471,雨,層雲峡,ｿｳｳﾝｷｮｳ,上川郡上川町層雲峡高山,43,45.2,142,55.8,540,－,－,昭50.5.27,12930,－,142.93,43.75333333,,1834,2850,,366,570
上川,12501,官,東神楽,ﾋｶﾞｼｶｸﾞﾗ,上川郡東神楽町東2線　旭川航空気象観測所,43,40.2,142,26.8,211,10,－,平15.1.1,12932,日照を除く,142.4466667,43.67,,1795,2840,,359,568
上川,12512,四,志比内,ｼﾋﾞﾅｲ,上川郡東神楽町志比内,43,38.6,142,34.9,310,10,1.5,平4.10.9,－,－,142.5816667,43.64333333,,1806,2837,,361,567
上川,12551,四,美瑛,ﾋﾞｴｲ,上川郡美瑛町原野5線,43,35.3,142,29.6,250,10,1.5,(昭50.5.28)昭52.10.6,12935,－,142.4933333,43.58833333,,1799,2830,,359,566
上川,12596,四,上富良野,ｶﾐﾌﾗﾉ,空知郡上富良野町大町,43,27.3,142,27.9,220,10,2.1,昭52.10.8,－,－,142.465,43.455,,1797,2814,,359,562
上川,12607,雨,白金,ｼﾛｶﾞﾈ,上川郡美瑛町白金,43,28.5,142,39,658,－,－,昭59.10.8,－,－,142.65,43.475,,1812,2817,,362,563
上川,12626,四,富良野,ﾌﾗﾉ,富良野市東町,43,20,142,24,174,9.4,2.2,#昭51.4.1,12940,－,142.4,43.33333333,,1792,2800,,358,560
上川,12632,四,麓郷,ﾛｸｺﾞｳ,富良野市麓郷市街地,43,18.1,142,31.3,315,10,2.3,昭53.10.25,－,－,142.5216667,43.30166667,,1801,2796,,360,559
上川,12686,雨,金山,ｶﾅﾔﾏ,空知郡南富良野町金山地先,43,8.3,142,25,284,－,－,平17.11.17,－,－,142.4166667,43.13833333,,1793,2776,,358,555
