都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,経度,緯度,,2400分割,3600分割,,480分割,720分割
岩手,33461,雨,刈屋,ｶﾘﾔ,宮古市刈屋第15地割,39,38.5,141,46.4,140,－,－,平23.6.14,－,臨時観測所,141.7733333,39.64166667,,1741,2357,,348,471
岩手,33472,官,宮古,ﾐﾔｺ,宮古市鍬ケ崎下町　宮古特別地域気象観測所,39,38.8,141,57.9,43,20.3,－,平2.10.18,33933,－,141.965,39.64666667,,1757,2357,,351,471
岩手,33486,四,沢内,ｻﾜｳﾁ,和賀郡西和賀町沢内字貝沢4地割,39,32.9,140,50.6,407,10,3,平29.7.11,－,－,140.8433333,39.54833333,,1667,2345,,333,469
岩手,33501,四,紫波,ｼﾜ,紫波郡紫波町稲藤字七郷,39,32.8,141,7.6,125,10,2,昭52.1.1,－,－,141.1266667,39.54666667,,1690,2345,,338,469
岩手,33526,四,川井,ｶﾜｲ,宮古市川井,39,35.9,141,40.9,192,6.5,2,昭52.12.2,－,－,141.6816667,39.59833333,,1734,2351,,346,470
岩手,33566,雨,豊沢,ﾄﾖｻﾜ,花巻市北豊沢山国有林,39,28.8,140,58.1,300,－,－,昭58.11.16,－,－,140.9683333,39.48,,1677,2337,,335,467
岩手,33576,官,花巻,ﾊﾅﾏｷ,花巻市葛第3地割　花巻航空気象観測所,39,25.7,141,8.1,90,10,－,平15.1.1,－,日照を除く,141.135,39.42833333,,1690,2331,,338,466
岩手,33581,四,大迫,ｵｵﾊｻﾏ,花巻市大迫町大迫第13地割,39,28.2,141,16.7,150,10,2,#昭51.11.18,－,－,141.2783333,39.47,,1702,2336,,340,467
岩手,33596,雨,附馬牛,ﾂｷﾓｳｼ,遠野市附馬牛町上附馬牛19地割,39,27.4,141,30.4,440,－,－,平17.10.20,－,－,141.5066667,39.45666667,,1720,2334,,344,466
岩手,33611,雨,大槌,ｵｵﾂﾁ,上閉伊郡大槌町金沢,39,26.3,141,48.4,120,－,－,平12.11.17,－,－,141.8066667,39.43833333,,1744,2332,,348,466
岩手,33616,四,山田,ﾔﾏﾀﾞ,下閉伊郡山田町織笠第11地割,39,27,141,57.4,24,6.5,2,(昭50.5.22)昭51.11.19,－,－,141.9566667,39.45,,1756,2334,,351,466
岩手,33631,四,湯田,ﾕﾀﾞ,和賀郡西和賀町上野々第39地割,39,18.6,140,46.6,250,10,3.5,#昭51.2.26,33935,－,140.7766667,39.31,,1662,2317,,332,463
岩手,33671,四,遠野,ﾄｵﾉ,遠野市松崎町白岩24地割,39,20.3,141,32.6,275,10,2,#昭51.11.22,33930,－,141.5433333,39.33833333,,1723,2320,,344,464
岩手,33686,三,新町,ｼﾝﾁｮｳ,上閉伊郡大槌町新町,39,21.6,141,54.4,2,5.5,－,平23.6.14,－,臨時観測所,141.9066667,39.36,,1752,2323,,350,464
岩手,33711,雨,金ヶ崎,ｶﾈｶﾞｻｷ,胆沢郡金ケ崎町西根千貫石,39,13.5,141,0.9,170,－,－,平17.10.19,－,－,141.015,39.225,,1681,2307,,336,461
岩手,33716,四,北上,ｷﾀｶﾐ,北上市芳町,39,17.3,141,6.6,61,6.5,2,#昭51.12.4,33940,－,141.11,39.28833333,,1688,2314,,337,462
岩手,33726,雨,米里,ﾖﾈｻﾄ,奥州市江刺米里字荒田表,39,14,141,18.6,170,－,－,昭51.9.9,－,－,141.31,39.23333333,,1704,2308,,340,461
岩手,33751,四,釜石,ｶﾏｲｼ,釜石市港町,39,16.2,141,52.7,5,10,2,#昭51.11.20,－,－,141.8783333,39.27,,1750,2312,,350,462
岩手,33776,四,若柳,ﾜｶﾔﾅｷﾞ,奥州市胆沢若柳字倉舘,39,8.4,141,3.8,97,10,2,#昭51.11.26,－,－,141.0633333,39.14,,1685,2296,,337,459
岩手,33781,四,江刺,ｴｻｼ,奥州市江刺愛宕字八日市,39,11,141,9.7,42,10,2,#昭51.11.25,－,－,141.1616667,39.18333333,,1692,2302,,338,460
岩手,33801,四,住田,ｽﾐﾀ,気仙郡住田町世田米字川向,39,8.5,141,34.4,80,10,2,昭52.10.20,－,－,141.5733333,39.14166667,,1725,2297,,345,459
岩手,33831,雨,祭畤,ﾏﾂﾙﾍﾞ,一関市厳美町祭畤,39,0.7,140,51.9,350,－,－,昭50.5.21,33945,－,140.865,39.01166667,,1669,2281,,333,456
岩手,33841,雨,衣川,ｺﾛﾓｶﾞﾜ,奥州市衣川懸田,39,3,141,2.7,75,－,－,昭50.5.25,－,－,141.045,39.05,,1683,2286,,336,457
岩手,33856,雨,大東,ﾀﾞｲﾄｳ,一関市大東町猿沢字上ノ洞,39,2.3,141,17.8,140,－,－,平17.10.18,－,－,141.2966667,39.03833333,,1703,2284,,340,456
岩手,33871,三,陸前高田,ﾘｸｾﾞﾝﾀｶﾀ,陸前高田市高田町字鳴石地内,39,1.5,141,37.8,61,5.5,－,平23.6.14,－,臨時観測所,141.63,39.025,,1730,2283,,346,456
岩手,33877,官,大船渡,ｵｵﾌﾅﾄ,大船渡市大船渡町字赤沢　大船渡特別地域気象観測所,39,3.8,141,42.8,37,22.2,－,#平2.3.15,33947,－,141.7133333,39.06333333,,1737,2287,,347,457
岩手,33911,四,一関,ｲﾁﾉｾｷ,一関市竹山町,38,56,141,7.5,32,10,2,#昭51.2.15,33950,－,141.125,38.93333333,,1690,2272,,338,454
岩手,33921,四,千厩,ｾﾝﾏﾔ,一関市千厩町千厩字北方,38,55.3,141,19.8,120,10,2,#昭51.11.27,－,－,141.33,38.92166667,,1706,2270,,341,454
宮城,34012,四,駒ノ湯,ｺﾏﾉﾕ,栗原市栗駒沼倉耕英南,38,54.8,140,49.7,525,6.5,2.5,昭51.11.29,34906,－,140.8283333,38.91333333,,1666,2269,,333,453
宮城,34026,四,気仙沼,ｹｾﾝﾇﾏ,気仙沼市古町,38,54.4,141,33.4,62,10,1.5,#昭51.12.2,－,－,141.5566667,38.90666667,,1724,2268,,344,453
宮城,34056,雨,鴬沢,ｳｸﾞｲｽｻﾞﾜ,栗原市鶯沢袋宮林,38,48.3,140,56.9,33,－,－,平13.9.27,－,－,140.9483333,38.805,,1675,2256,,335,451
宮城,34096,四,川渡,ｶﾜﾀﾋﾞ,大崎市鳴子温泉字蓬田,38,44.6,140,45.6,170,10,2,昭51.12.4,34900,－,140.76,38.74333333,,1660,2249,,332,449
宮城,34111,四,築館,ﾂｷﾀﾞﾃ,栗原市築館左足下,38,44.1,141,0.3,25,6.5,2.5,#昭51.2.23,－,－,141.005,38.735,,1680,2248,,336,449
宮城,34171,四,米山,ﾖﾈﾔﾏ,登米市米山町西野字的場,38,37.6,141,11.3,5,6.5,2,(昭50.5.21)昭51.11.30,－,－,141.1883333,38.62666667,,1695,2235,,339,447
宮城,34186,四,志津川,ｼﾂﾞｶﾞﾜ,本吉郡南三陸町志津川字城場,38,40.9,141,26.9,39,10,2,#昭51.12.1,－,－,141.4483333,38.68166667,,1715,2241,,343,448
宮城,34206,雨,加美,ｶﾐ,加美郡加美町味ヶ袋薬莱原,38,34.3,140,43.6,195,－,－,平17.10.21,－,－,140.7266667,38.57166667,,1658,2228,,331,445
宮城,34216,四,古川,ﾌﾙｶﾜ,大崎市古川大崎字富国,38,35.9,140,54.7,28,6.5,1.5,#昭51.12.3,34910,－,140.9116667,38.59833333,,1672,2231,,334,446
宮城,34231,三,桃生,ﾓﾉｳ,石巻市桃生町中津山字江下,38,33.6,141,14.7,5,5.5,－,平23.6.14,－,臨時観測所,141.245,38.56,,1699,2227,,339,445
宮城,34241,雨,雄勝,ｵｶﾞﾂ,石巻市雄勝町雄勝字下雄勝,38,31.2,141,27.9,24,－,－,昭50.5.13,－,－,141.465,38.52,,1717,2222,,343,444
宮城,34262,雨,泉ケ岳,ｲｽﾞﾐｶﾞﾀﾞｹ,仙台市泉区福岡岳山,38,24.4,140,43.3,630,－,－,平17.10.26,－,－,140.7216667,38.40666667,,1657,2208,,331,441
宮城,34266,四,大衡,ｵｵﾋﾗ,黒川郡大衡村松の平,38,28.4,140,53.3,57,10,1.5,#昭51.12.3,－,－,140.8883333,38.47333333,,1671,2216,,334,443
宮城,34276,四,鹿島台,ｶｼﾏﾀﾞｲ,大崎市鹿島台広長字内の浦,38,27.6,141,5.5,3,10,2,#昭51.12.1,－,－,141.0916667,38.46,,1687,2215,,337,443
宮城,34286,三,東松島,ﾋｶﾞｼﾏﾂｼﾏ,東松島市矢本字大溜,38,25.6,141,12.8,4,5.5,－,平23.6.14,－,臨時観測所,141.2133333,38.42666667,,1697,2211,,339,442
宮城,34292,官,石巻,ｲｼﾉﾏｷ,石巻市泉町　石巻特別地域気象観測所,38,25.6,141,17.9,43,28.6,－,平2.1.25,34913,－,141.2983333,38.42666667,,1703,2211,,340,442
宮城,34296,三,女川,ｵﾅｶﾞﾜ,牡鹿郡女川町女川浜字大原,38,27.2,141,26.4,35,5.5,1.5,平23.5.13,－,臨時観測所,141.44,38.45333333,,1715,2214,,343,442
宮城,34311,四,新川,ﾆｯｶﾜ,仙台市青葉区新川字清水尻,38,18.2,140,38.2,265,10,2,#昭51.11.30,34915,－,140.6366667,38.30333333,,1650,2196,,330,439
宮城,34331,四,塩釜,ｼｵｶﾞﾏ,塩竈市伊保石,38,20.3,141,0.8,105,10,1.5,(昭50.5.21)昭51.11.30,－,－,141.0133333,38.33833333,,1681,2200,,336,440
宮城,34361,四,江ノ島,ｴﾉｼﾏ,牡鹿郡女川町江島字荒藪,38,23.9,141,35.8,40,－,1.5,昭53.11.21,－,気温、雨,141.5966667,38.39833333,,1727,2207,,345,441
宮城,34361,四,江ノ島,ｴﾉｼﾏ,牡鹿郡女川町江島字荒藪,38,23.8,141,35.8,33,5.4,－,昭53.11.21,－,風、日照,141.5966667,38.39666667,,1727,2207,,345,441
宮城,34392,官,仙台,ｾﾝﾀﾞｲ,仙台市宮城野区五輪　仙台管区気象台,38,15.7,140,53.8,39,52.6,－,#昭57.3.1,34917,－,140.8966667,38.26166667,,1671,2191,,334,438
宮城,34431,雨,岩沼,ｲﾜﾇﾏ,岩沼市里の杜,38,6.4,140,52.6,4,－,－,平23.6.14,－,臨時観測所,140.8766667,38.10666667,,1670,2172,,334,434
宮城,34436,官,名取,ﾅﾄﾘ,名取市下増田字南原　仙台航空測候所,38,8.3,140,55,2,9.7,－,平15.1.1,－,日照を除く,140.9166667,38.13833333,,1673,2176,,334,435
宮城,34461,四,白石,ｼﾛｲｼ,白石市福岡長袋字湯殿山,38,0.9,140,36.7,86,10,2,#昭51.11.25,34920,－,140.6116667,38.015,,1648,2161,,329,432
宮城,34462,四,蔵王,ｻﾞｵｳ,刈田郡蔵王町大字平沢字内屋敷,38,7.6,140,40.8,112,6.5,2,平17.10.27,－,－,140.68,38.12666667,,1654,2175,,330,435
宮城,34471,四,亘理,ﾜﾀﾘ,亘理郡亘理町字油田,38,1.5,140,51.5,4,10,1.5,#昭51.11.29,－,－,140.8583333,38.025,,1668,2163,,333,432
宮城,34506,四,丸森,ﾏﾙﾓﾘ,伊具郡丸森町舘矢間舘山字新賢中,37,55.9,140,46.7,18,10,1.5,昭52.11.4,－,－,140.7783333,37.93166667,,1662,2151,,332,430
宮城,34526,雨,筆甫,ﾋｯﾎﾟ,伊具郡丸森町筆甫字和田,37,49.6,140,43.7,305,－,－,昭53.11.10,－,－,140.7283333,37.82666667,,1658,2139,,331,427
山形,35002,四,飛島,ﾄﾋﾞｼﾏ,酒田市飛島字勝浦乙,39,11,139,32.6,58,20.5,1.5,昭62.11.10,－,－,139.5433333,39.18333333,,1563,2302,,312,460
山形,35052,官,酒田,ｻｶﾀ,酒田市亀ケ崎　酒田特別地域気象観測所,38,54.5,139,50.6,3,26.6,－,#昭59.2.9,35955,－,139.8433333,38.90833333,,1587,2269,,317,453
山形,35056,雨,酒田大沢,ｻｶﾀｵｵｻﾜ,酒田市大蕨字二タ子,38,57.9,139,59.9,65,－,－,平29.12.20,－,－,139.9983333,38.965,,1599,2275,,319,455
山形,35071,四,差首鍋,ｻｽﾅﾍﾞ,最上郡真室川町差首鍋,38,55.1,140,12,88,9,3.5,#昭51.11.30,－,－,140.2,38.91833333,,1616,2270,,323,454
山形,35086,官,浜中,ﾊﾏﾅｶ,酒田市浜中字村東　庄内航空気象観測所,38,48.7,139,47.2,22,10,－,平15.1.1,－,日照を除く,139.7866667,38.81166667,,1582,2257,,316,451
山形,35116,四,金山,ｶﾈﾔﾏ,最上郡金山町金山字本町,38,52.7,140,19.9,170,10,1.5,#昭51.11.29,35900,－,140.3316667,38.87833333,,1626,2265,,325,453
山形,35141,四,鶴岡,ﾂﾙｵｶ,鶴岡市錦町,38,44.1,139,49.7,16,6.5,1.5,#昭51.12.2,－,－,139.8283333,38.735,,1586,2248,,317,449
山形,35146,四,狩川,ｶﾘｶﾜ,東田川郡庄内町狩川字矢倉,38,48,139,58.4,17,10,3,#昭51.12.2,35905,－,139.9733333,38.8,,1597,2256,,319,451
山形,35162,官,新庄,ｼﾝｼﾞｮｳ,新庄市東谷地田町　新庄特別地域気象観測所,38,45.4,140,18.7,105,31.6,－,#昭60.11.1,35907,－,140.3116667,38.75666667,,1624,2250,,324,450
山形,35171,雨,瀬見,ｾﾐ,最上郡最上町大堀,38,45.3,140,24.8,150,－,－,#,－,－,140.4133333,38.755,,1633,2250,,326,450
山形,35176,四,向町,ﾑｶｲﾏﾁ,最上郡最上町向町,38,45.5,140,31,212,10,3.5,(昭49.12.18)昭51.11.26,35950,－,140.5166667,38.75833333,,1641,2251,,328,450
山形,35201,雨,櫛引,ｸｼﾋﾞｷ,鶴岡市桂荒俣字上桂,38,40.3,139,50.9,33,－,－,#,35910,－,139.8483333,38.67166667,,1587,2240,,317,448
山形,35216,四,肘折,ﾋｼﾞｵﾘ,最上郡大蔵村南山,38,36.4,140,9.8,330,8.5,1.5,昭51.11.27,35920,－,140.1633333,38.60666667,,1613,2232,,322,446
山形,35231,四,尾花沢,ｵﾊﾞﾅｻﾞﾜ,尾花沢市新町,38,36.5,140,24.7,106,9,2.5,(昭50.5.23)昭51.3.8,35915,－,140.4116667,38.60833333,,1632,2233,,326,446
山形,35246,四,鼠ケ関,ﾈｽﾞｶﾞｾｷ,鶴岡市鼠ケ関字横路,38,34,139,33.1,18,10,2,(昭50.5.23)昭51.12.3,－,－,139.5516667,38.56666667,,1564,2228,,312,445
山形,35256,雨,荒沢,ｱﾗｻﾜ,鶴岡市荒沢字狩籠,38,30.4,139,46.9,273,－,－,昭54.4.11,－,－,139.7816667,38.50666667,,1582,2220,,316,444
山形,35332,四,村山,ﾑﾗﾔﾏ,村山市大字大久保字寄込,38,27.6,140,20.9,80,6.5,1.5,平14.6.4,－,－,140.3483333,38.46,,1627,2215,,325,443
山形,35334,官,東根,ﾋｶﾞｼﾈ,東根市大字羽入字柏原新林　山形航空気象観測所,38,24.7,140,22.2,105,10,－,平15.1.1,－,日照を除く,140.37,38.41166667,,1629,2209,,325,441
山形,35361,四,大井沢,ｵｵｲｻﾜ,西村山郡西川町大井沢字中村,38,23.4,139,59.6,440,10,1.5,昭53.12.20,35925,－,139.9933333,38.39,,1599,2206,,319,441
山形,35376,四,左沢,ｱﾃﾗｻﾞﾜ,西村山郡大江町本郷字下夕原己,38,22.2,140,11.5,133,6.5,2,#昭51.12.3,35945,－,140.1916667,38.37,,1615,2204,,323,440
山形,35426,官,山形,ﾔﾏｶﾞﾀ,山形市緑町　山形地方気象台,38,15.3,140,20.7,153,14.9,－,#昭50.3.17,35927,－,140.345,38.255,,1627,2190,,325,438
山形,35456,四,長井,ﾅｶﾞｲ,長井市平山,38,6.3,140,0.9,210,9,3,#昭51.12.10,35930,－,140.015,38.105,,1601,2172,,320,434
山形,35466,雨,上山中山,ｶﾐﾉﾔﾏﾅｶﾔﾏ,上山市中山字壁屋敷,38,7,140,12.8,270,－,－,平17.10.25,－,－,140.2133333,38.11666667,,1617,2174,,323,434
山形,35486,四,小国,ｵｸﾞﾆ,西置賜郡小国町増岡字下林,38,4.7,139,44.1,140,10,4,#昭51.12.8,35935,－,139.735,38.07833333,,1578,2169,,315,433
山形,35511,四,高畠,ﾀｶﾊﾀ,東置賜郡高畠町安久津字加茂川原,38,0.2,140,12.4,220,10,1.5,昭51.12.9,－,－,140.2066667,38.00333333,,1616,2160,,323,432
山形,35537,雨,中津川,ﾅｶﾂｶﾞﾜ,西置賜郡飯豊町岩倉,37,54.6,139,50.6,390,－,－,昭56.7.1,－,－,139.8433333,37.91,,1587,2149,,317,429
山形,35541,四,高峰,ﾀｶﾐﾈ,西置賜郡飯豊町高峰,37,59.9,139,57.4,250,10.4,1.5,#昭51.11.22,－,－,139.9566667,37.99833333,,1596,2159,,319,431
山形,35552,四,米沢,ﾖﾈｻﾞﾜ,米沢市アルカディア,37,54.7,140,8.6,245,9.4,1.5,平17.12.1,35940,－,140.1433333,37.91166667,,1611,2149,,322,429
福島,36056,四,茂庭,ﾓﾆﾜ,福島市飯坂町茂庭字滑滝道,37,53.5,140,26.2,200,6.5,3,平4.10.23,36950,－,140.4366667,37.89166667,,1634,2147,,326,429
福島,36066,四,梁川,ﾔﾅｶﾞﾜ,伊達市梁川町粟野字作田,37,51.1,140,35.3,43,9.4,1.5,#昭51.12.6,－,－,140.5883333,37.85166667,,1647,2142,,329,428
福島,36081,三,新地,ｼﾝﾁ,相馬郡新地町谷地小屋字樋掛田,37,52.5,140,55.1,10,5.5,－,平23.6.14,－,臨時観測所,140.9183333,37.875,,1673,2145,,334,429
福島,36106,四,桧原,ﾋﾊﾞﾗ,耶麻郡北塩原村桧原字墓下,37,43.3,140,3.5,824,9.4,4,昭53.10.26,－,－,140.0583333,37.72166667,,1604,2126,,320,425
福島,36126,官,福島,ﾌｸｼﾏ,福島市松木町　福島地方気象台,37,45.5,140,28.2,67,26.1,－,#昭50.3.13,36955,－,140.47,37.75833333,,1637,2131,,327,426
福島,36151,四,相馬,ｿｳﾏ,相馬市成田字五郎右エ門橋,37,47,140,55.5,9,6.5,1.5,#昭51.12.7,－,－,140.925,37.78333333,,1674,2134,,334,426
福島,36176,四,喜多方,ｷﾀｶﾀ,喜多方市字押切,37,39.5,139,51.8,212,10,3.5,#昭51.12.13,－,－,139.8633333,37.65833333,,1589,2119,,317,423
福島,36196,四,鷲倉,ﾜｼｸﾗ,福島市土湯温泉町字鷲倉山国有林,37,40.1,140,15.6,1220,6.5,3,昭51.11.16,－,－,140.26,37.66833333,,1620,2120,,324,424
福島,36221,四,飯舘,ｲｲﾀﾃ,相馬郡飯舘村飯樋字笠石,37,39.9,140,43.6,463,10,1.5,昭51.12.4,－,－,140.7266667,37.665,,1658,2119,,331,423
福島,36231,雨,原町,ﾊﾗﾏﾁ,南相馬市原町区高見町,37,38.3,140,59,17,－,－,#,－,－,140.9833333,37.63833333,,1678,2116,,335,423
福島,36251,四,西会津,ﾆｼｱｲﾂﾞ,耶麻郡西会津町尾野本字樋ノ口原乙,37,35.3,139,39.4,165,10,3.5,(昭50.5.21)昭51.11.24,36905,－,139.6566667,37.58833333,,1572,2110,,314,422
福島,36276,四,猪苗代,ｲﾅﾜｼﾛ,耶麻郡猪苗代町大字千代田字中島,37,33.1,140,6.5,519,10,3.5,#昭51.11.30,36910,－,140.1083333,37.55166667,,1608,2106,,321,421
福島,36291,四,二本松,ﾆﾎﾝﾏﾂ,二本松市金色久保,37,35,140,25.8,235,10,1.5,#昭51.12.3,－,－,140.43,37.58333333,,1634,2110,,326,422
福島,36307,雨,津島,ﾂｼﾏ,双葉郡浪江町下津島字町,37,33.6,140,45.2,400,－,－,昭52.3.23,－,－,140.7533333,37.56,,1660,2107,,332,421
福島,36342,四,金山,ｶﾈﾔﾏ,大沼郡金山町大字中川字沖根原,37,28.4,139,31.7,296,10,4.5,平19.12.19,36921,－,139.5283333,37.47333333,,1562,2096,,312,419
福島,36361,官,若松,ﾜｶﾏﾂ,会津若松市材木町　若松特別地域気象観測所,37,29.3,139,54.6,212,19.1,－,#昭50.3.17,36923,－,139.91,37.48833333,,1592,2098,,318,419
福島,36391,四,船引,ﾌﾈﾋｷ,田村市船引町船引字新房院,37,26.1,140,34.6,421,6.5,1.5,#昭51.12.2,－,－,140.5766667,37.435,,1646,2092,,329,418
福島,36411,四,浪江,ﾅﾐｴ,双葉郡浪江町川添字北上の原,37,29.5,140,57.9,47,10,1.5,#昭51.12.8,－,－,140.965,37.49166667,,1677,2099,,335,419
福島,36426,四,只見,ﾀﾀﾞﾐ,南会津郡只見町只見字原,37,20.6,139,18.8,377,10.5,4.5,昭51.7.20,36915,－,139.3133333,37.34333333,,1545,2081,,309,416
福島,36461,雨,湖南,ｺﾅﾝ,郡山市湖南町福良字家老,37,23.3,140,5.4,536,－,－,昭57.6.18,－,－,140.09,37.38833333,,1607,2086,,321,417
福島,36476,四,郡山,ｺｵﾘﾔﾏ,郡山市安積町成田字東丸山,37,22.1,140,19.8,249,6.5,1.5,#昭51.3.12,－,－,140.33,37.36833333,,1626,2084,,325,416
福島,36501,四,川内,ｶﾜｳﾁ,双葉郡川内村上川内字小山平,37,20.2,140,48.5,410,10,1.5,昭51.11.30,－,－,140.8083333,37.33666667,,1664,2080,,332,416
福島,36511,雨,富岡,ﾄﾐｵｶ,双葉郡富岡町小浜,37,20.8,141,1,50,－,－,#,－,－,141.0166667,37.34666667,,1681,2081,,336,416
福島,36536,四,南郷,ﾅﾝｺﾞｳ,南会津郡南会津町界字梨木平,37,15.9,139,32.2,494,8,4.5,#昭51.11.19,36925,－,139.5366667,37.265,,1562,2071,,312,414
福島,36562,四,湯本,ﾕﾓﾄ,岩瀬郡天栄村田良尾字持石,37,16.6,140,3.8,640,9.9,2.5,昭63.10.5,36945,－,140.0633333,37.27666667,,1605,2073,,321,414
福島,36571,雨,長沼,ﾅｶﾞﾇﾏ,須賀川市長沼字町尻,37,17.3,140,13.1,317,－,－,昭53.8.8,－,－,140.2183333,37.28833333,,1617,2074,,323,414
福島,36581,官,玉川,ﾀﾏｶﾜ,石川郡玉川村大字北須釜字はばき田　福島航空気象観測所,37,13.6,140,25.6,372,10,－,平15.1.1,－,日照を除く,140.4266667,37.22666667,,1634,2067,,326,413
福島,36591,四,小野新町,ｵﾉﾆｲﾏﾁ,田村郡小野町小野新町字舘廻,37,17.2,140,37.5,433,10,1.5,#昭51.12.1,－,－,140.625,37.28666667,,1650,2074,,330,414
福島,36597,雨,川前,ｶﾜﾏｴ,いわき市川前町下桶売字久保田,37,14.8,140,43.4,492,－,－,平26.12.3,－,－,140.7233333,37.24666667,,1657,2069,,331,413
福島,36611,四,広野,ﾋﾛﾉ,双葉郡広野町下北迫字大谷地原,37,14,141,0,43,10,1.5,(昭50.5.22)昭51.12.13,－,－,141,37.23333333,,1680,2068,,336,413
福島,36641,四,田島,ﾀｼﾞﾏ,南会津郡南会津町田島字東下原,37,12.4,139,47.7,544,10,3,#昭51.11.18,36935,－,139.795,37.20666667,,1583,2064,,316,412
福島,36667,官,白河,ｼﾗｶﾜ,白河市郭内　白河特別地域気象観測所,37,7.9,140,12.9,355,45.3,－,平6.1.28,36937,－,140.215,37.13166667,,1617,2055,,323,411
福島,36676,四,石川,ｲｼｶﾜ,石川郡石川町双里字本宮,37,8.8,140,27.6,290,10,1.5,#昭51.11.26,－,－,140.46,37.14666667,,1636,2057,,327,411
福島,36716,四,桧枝岐,ﾋﾉｴﾏﾀ,南会津郡檜枝岐村字上河原,37,0.6,139,22.5,973,10,4.5,昭53.10.31,36940,－,139.375,37.01,,1550,2041,,310,408
福島,36726,雨,舘岩,ﾀﾃｲﾜ,南会津郡南会津町松戸原,37,5.5,139,31.9,690,－,－,昭53.8.9,－,－,139.5316667,37.09166667,,1562,2051,,312,410
福島,36766,三,古殿,ﾌﾙﾄﾞﾉ,石川郡古殿町大字松川字横川,37,5.4,140,33.6,347,5.5,－,平23.6.14,－,臨時観測所,140.56,37.09,,1644,2050,,328,410
福島,36781,雨,平,ﾀｲﾗ,いわき市好間町今新田字宮西,37,3.9,140,52.6,12,－,－,#,－,－,140.8766667,37.065,,1670,2047,,334,409
福島,36821,四,東白川,ﾋｶﾞｼｼﾗｶﾜ,東白川郡塙町大字上石井字新田,36,56.3,140,24.5,183,6.5,1.5,#昭51.11.25,－,－,140.4083333,36.93833333,,1632,2032,,326,406
福島,36836,四,山田,ﾔﾏﾀﾞ,いわき市山田町大谷,36,56,140,44,25,10,1.5,平21.3.6,－,－,140.7333333,36.93333333,,1658,2032,,331,406
福島,36846,官,小名浜,ｵﾅﾊﾏ,いわき市小名浜字船引場　小名浜特別地域気象観測所,36,56.8,140,54.2,3,－,－,#昭50.3.17,－,気温、雨、日照,140.9033333,36.94666667,,1672,2033,,334,406
福島,36846,官,小名浜,ｵﾅﾊﾏ,いわき市小名浜大原字芳際,36,57.8,140,53,5,20,－,#昭50.3.17,－,風,140.8833333,36.96333333,,1670,2035,,334,407
茨城,40041,雨,花園,ﾊﾅｿﾞﾉ,北茨城市華川町花園,36,52.1,140,38.2,370,－,－,#,－,－,140.6366667,36.86833333,,1650,2024,,330,404
茨城,40046,四,北茨城,ｷﾀｲﾊﾞﾗｷ,北茨城市関南町関本下,36,50,140,46.3,5,10,1.5,#昭53.1.18,－,－,140.7716667,36.83333333,,1661,2020,,332,404
茨城,40061,四,大子,ﾀﾞｲｺﾞ,久慈郡大子町大子,36,46.7,140,20.7,120,10,1.5,#昭53.1.13,－,－,140.345,36.77833333,,1627,2013,,325,402
茨城,40066,雨,徳田,ﾄｸﾀﾞ,常陸太田市徳田町,36,46.7,140,28.9,270,－,－,昭52.7.15,－,－,140.4816667,36.77833333,,1638,2013,,327,402
茨城,40076,雨,大能,ｵｵﾉｳ,高萩市大能,36,44.6,140,35.6,395,－,－,昭60.6.5,－,－,140.5933333,36.74333333,,1647,2009,,329,401
茨城,40091,四,常陸大宮,ﾋﾀﾁｵｵﾐﾔ,常陸大宮市上小瀬,36,36.4,140,19.5,95,6.5,1.5,昭53.12.20,－,－,140.325,36.60666667,,1626,1992,,325,398
茨城,40126,雨,中野,ﾅｶﾉ,常陸太田市中野町,36,30.9,140,28.4,17,－,－,昭52.7.13,－,－,140.4733333,36.515,,1637,1981,,327,396
茨城,40136,四,日立,ﾋﾀﾁ,日立市会瀬町,36,34.8,140,38.7,34,10,1.5,(昭50.5.20)昭53.1.18,－,－,140.645,36.58,,1651,1989,,330,397
茨城,40181,雨,門井,ｶﾄﾞｲ,筑西市門井,36,20,140,2,40,－,－,昭57.6.23,－,－,140.0333333,36.33333333,,1602,1960,,320,392
茨城,40191,四,笠間,ｶｻﾏ,笠間市箱田,36,23.7,140,14.4,72,10,1.5,#昭53.1.31,－,－,140.24,36.395,,1619,1967,,323,393
茨城,40201,官,水戸,ﾐﾄ,水戸市金町　水戸地方気象台,36,22.8,140,28,29,14.1,－,#昭50.3.3,40900,－,140.4666667,36.38,,1637,1965,,327,393
茨城,40221,四,古河,ｺｶﾞ,古河市北町,36,12.1,139,43,20,10,1.5,#昭53.1.11,－,－,139.7166667,36.20166667,,1577,1944,,315,388
茨城,40231,四,下館,ｼﾓﾀﾞﾃ,筑西市西石田,36,16.9,139,59.3,24,6.5,1.5,平13.12.10,－,－,139.9883333,36.28166667,,1599,1953,,319,390
茨城,40241,雨,柿岡,ｶｷｵｶ,石岡市柿岡,36,14,140,11.3,27,－,－,昭50.5.20,－,－,140.1883333,36.23333333,,1615,1948,,323,389
茨城,40251,雨,美野里,ﾐﾉﾘ,小美玉市部室,36,14.2,140,19.5,25,－,－,昭50.5.20,－,－,140.325,36.23666667,,1626,1948,,325,389
